Date,Average of Water heights in meter,Station,Name of river,Subdistrict,District,Province
2023-01-02,3.9,Ban Mae Wan,น้ำแม่กวง,ป่าเมี่ยง,ดอยสะเก็ด,เชียงใหม่
2023-01-02,5.32,Ban Mai Rim Fang,น้ำฝาง,เวียงฝาง,ฝาง,เชียงใหม่
2023-01-02,7.14,Ban Mang,น้ำปี้,มาง,เชียงม่วน,พะเยา
2023-01-02,6.03,Ban Muang Pok,น้ำแม่แตง,เปียงหลวง,เวียงแหง,เชียงใหม่
2023-01-02,4.02,Ban Mueang Kuet,น้ำแม่แตง,กึ๊ดช้าง,แม่แตง,เชียงใหม่
2023-01-02,2.47,Ban Mueang Mai,ห้วยแม่ต๋า,เมืองมาย,แจ้ห่ม,ลำปาง
2023-01-02,4.57,Ban Mueang Pha,น้ำแม่ริม,ริมเหนือ,แม่ริม,เชียงใหม่
2023-01-02,1.05,Ban Nam Ing,น้ำอิง,ต้า,ขุนตาล,เชียงราย
2023-01-02,9.35,Ban Nam Khong,แม่น้ำยม,ป่าแมต,เมือง,แพร่
2023-01-02,5.55,Ban Nam Yao,น้ำยาว,อวน,ปัว,น่าน
2023-01-02,0.25,Ban Nong Daeng,แม่น้ำน่าน,เปือ,เชียงกลาง,น่าน
2023-01-02,1.74,Ban Nong Naw,น้ำแม่สอย,แจ้ห่ม,แจ้ห่ม,ลำปาง
2023-01-02,3.68,Ban Nong Pham,น้ำแม่ลาว,แม่สรวย,แม่สรวย,เชียงราย
2023-01-02,7.37,Ban Pa Kha,น้ำควร,ควร,ปง,พะเยา
2023-01-02,8.01,Ban Pa Khoi Tai,แม่น้ำปิง,สันผีเสื้อ,เมือง,เชียงใหม่
2023-01-02,4.82,Ban Pa Sang,น้ำแม่ทา,ป่าซาง,ป่าซาง,ลำพูน
2023-01-02,5.65,Ban Pang Sa,ห้วยน้ำยาว,ผาทอง,ท่าวังผา,น่าน
2023-01-02,10.32,Ban Pha Khwang,แม่น้ำน่าน,บ่อ,เมือง,น่าน
2023-01-02,6.58,Ban Phai Ngarm,แม่น้ำน่าน,ส้าน,เวียงสา,น่าน
2023-01-02,4.37,Ban Phan Ton,น้ำแม่วาง,ทุ่งปี้,แม่วาง,เชียงใหม่
2023-01-02,4.75,Ban Phi Tai,น้ำปี้,บ้านพี้,บ้านหลวง,น่าน
2023-01-02,2.86,Ban Phu Yaeng,น้ำมวบ,ดู่พงษ์,สันติสุข,น่าน
2023-01-02,6.79,Ban Pong,น้ำแม่กวง,บวกค้าง,สันกำแพง,เชียงใหม่
2023-01-02,8.46,Ban Pong,ห้วยโป่ง,บ้านโป่ง,งาว,ลำปาง
2023-01-02,4.17,Ban Rong Kho,แม่น้ำวัง,ร่องเคาะ,วังเหนือ,ลำปาง
2023-01-02,4.78,Ban Rong Khun,น้ำแม่ลาว,ป่าอ้อดอนชัย,เมือง,เชียงราย
2023-01-02,3.2,Ban Saluang Nok,น้ำแม่ริม,สลวง,แม่ริม,เชียงใหม่
2023-01-02,6.19,Ban San Pu Loei,น้ำแม่ขอด,โหล่งขอด,พร้าว,เชียงใหม่
2023-01-02,7.25,Ban Singpotin,น้ำแม่ลาย,ป่าเมี่ยง,ดอยสะเก็ด,เชียงใหม่
2023-01-02,9.62,Ban Sob Soi,แม่น้ำปิง,แม่สอย,จอมทอง,เชียงใหม่
2023-01-02,5.38,Ban Sop Mae Sapoot,แม่น้ำแม่ทา,ทาสบเส้า,แม่ทา,ลำพูน
2023-01-02,8.12,Ban Sop Pae,แม่น้ำปิง,สบแปะ,จอมทอง,เชียงใหม่
2023-01-02,5.58,Ban Sop Prap,แม่น้ำวัง,สบปราบ,สบปราบ,ลำปาง
2023-01-02,5.8,Ban Sop Tam,น้ำแม่ต่ำ,เกาะคา,เกาะคา,ลำปาง
2023-01-02,4.52,Ban Sop Win,น้ำแม่วาง,แม่วิน,แม่วาง,เชียงใหม่
2023-01-02,7.36,Ban Tha Duea,แม่น้ำวัง,พิชัย,เมือง,ลำปาง
2023-01-02,4.84,Ban Tha Lo,น้ำแม่ตุ๋ย,บ่อแฮ้ว,เมือง,ลำปาง
2023-01-02,3.92,Ban Tha Pong Daeng,น้ำปาย,ผาบ่อง,เมือง,แม่ฮ่องสอน
2023-01-02,11.93,Ban Thung Nong,แม่น้ำยม,สระ,เชียงม่วน,พะเยา
2023-01-02,3.76,Ban Ton Yang,น้ำแม่ลาว,บัวสลี,แม่ลาว,เชียงราย
2023-01-02,12.97,Ban Wang Chin,แม่น้ำยม,วังชิ้น,วังชิ้น,แพร่
2023-01-02,6.94,In front of the Forestry Office,แม่น้ำน่าน,ในเวียง,เมือง,น่าน
2023-01-02,,Mae Kham Lak Chet,น้ำแม่คำ,ศรีค้ำ,แม่จัน,เชียงราย
2023-01-02,3.6,Nam Mae Chaem,น้ำแม่แจ่ม,บ้านท่าข้าม,จอมทอง,เชียงใหม่
2023-01-02,5.22,Nawarat Bridge,แม่น้ำปิง,วัดเกต,เมือง,น่าน
2023-01-02,4.45,Pracha Uthit Bridge,น้ำแม่กลาง,บ้านหลวง,จอมทอง,เชียงใหม่
2023-01-02,5.54,Romklao Cooperative House,น้ำแม่งัด,แม่แวน,พร้าว,เชียงใหม่
2023-01-02,4.25,Saphan Ban Khay,น้ำฝาง,แม่นาวาง,แม่อาย,เชียงใหม่
2023-01-02,4.8,Setuwari Bridge,แม้น้ำวัง,เวียงเหนือ,เมือง,ลำปาง
2023-01-02,12.4,Tha Li Bridge,น้ำว้า,ขึ่ง,เวียงสา,น่าน
2023-01-02,8.02,Tha Nang Bridge,น้ำแม่กวง,ในเมือง,เมือง,ลำพูน
2023-01-02,3.66,Wang Phrao,น้ำแม่จาง,วังพร้าว,เกาะคา,ลำปาง
2023-01-03,1.25,Ban Chiang,น้ำแม่แจ่ม,ช่างเคิ่ง,แม่แจ่ม,เชียงใหม่
2023-01-03,2.57,Ban Chiang Dao,แม่น้ำปิง,เชียงดาว,เชียงดาว,เชียงใหม่
2023-01-03,3.59,Ban Chor Lae,แม่น้ำปิง,ช่อแล,แม่แตง,เชียงใหม่
2023-01-03,3.9,Ban Don Chai,แม่น้ำวัง,ล้อมแรด,เถิน,ลำปาง
2023-01-03,8.53,Ban Don Mun,แม่น้ำวัง,บ้านแลง,เมือง,ลำปาง
2023-01-03,4.69,Ban Don Sali,น้ำแม่ลาว,ป่าแดด,แม่สรวย,เชียงราย
2023-01-03,4.03,Ban Hong,น้ำแม่ออน,ร้องวัวแดง,สันกำแพง,เชียงใหม่
2023-01-03,,Ban Hua Sapan,น้ำแม่จัน,ป่าซาง,แม่จัน,เชียงราย
2023-01-03,5.46,Ban Huai Pa Sang,น้ำแม่แตง,กึ๊ดช้าง,แม่แตง,เชียงใหม่
2023-01-03,8.87,Ban Huai Sak,แม่น้ำยม,เตาปูน,สอง,แพร่
2023-01-03,6.37,Ban Klang,น้ำแม่ขาน,บ้านกลาง,สันป่าตอง,เชียงใหม่
2023-01-03,0.52,Ban Klang,น้ำสา,แม่สา,เวียงสระ,น่าน
2023-01-03,3.28,Ban Ko Kha,แม่น้ำวัง,ศาลา,เกาะคา,ลำปาง
2023-01-03,6,Ban Kok Tong,แม่น้ำกก,รอบเวียง,เมือง,เชียงราย
2023-01-03,4.44,Ban Krariang Tung Phrao,น้ำแม่สรวย,วาวี,แม่สรวย,เชียงราย
2023-01-03,3.06,Ban Lai Kaeo,น้ำแม่ลี้,ศรีเตี้ย,บ้านโฮ่ง,ลำพูน
2023-01-03,6.6,Ban Luang,น้ำแม่ตื่น,ยางเปียง,อมก๋อย,เชียงใหม่
2023-01-03,7.6,Ban Luang Nuea,น้ำงาว,หลวงใต้,งาว,ลำปาง
2023-01-03,6.76,Ban Mae E Hi,น้ำแม่ลี้,ศรีวิชัย,ลี้,ลำพูน
2023-01-03,5.03,Ban Mae Kha Bridge,น้ำฝาง,แม่ข่า,ฝาง,เชียงใหม่
2023-01-03,6.74,Ban Mae Khom Mi Tamnak Tham,น้ำแม่คำมี,ตำหนักธรรม,หนองม่วงไข่,แพร่
2023-01-03,5.95,Ban Mae Lai,น้ำแม่หล่าย,แม่หล่าย,เมือง,แพร่
2023-01-03,2.32,Ban Mae Tae,แม่น้ำปิง,แม่แฝกเก่า,สันทราย,เชียงใหม่
2023-01-03,2.6,Ban Mae Taeng,แม่น้ำแตง,สันมหาพล,แม่แตง,เชียงใหม่
2023-01-03,3.9,Ban Mae Wan,น้ำแม่กวง,ป่าเมี่ยง,ดอยสะเก็ด,เชียงใหม่
2023-01-03,5.32,Ban Mai Rim Fang,น้ำฝาง,เวียงฝาง,ฝาง,เชียงใหม่
2023-01-03,7.15,Ban Mang,น้ำปี้,มาง,เชียงม่วน,พะเยา
2023-01-03,,Ban Muang Pok,น้ำแม่แตง,เปียงหลวง,เวียงแหง,เชียงใหม่
2023-01-03,3.99,Ban Mueang Kuet,น้ำแม่แตง,กึ๊ดช้าง,แม่แตง,เชียงใหม่
2023-01-03,2.42,Ban Mueang Mai,ห้วยแม่ต๋า,เมืองมาย,แจ้ห่ม,ลำปาง
2023-01-03,4.57,Ban Mueang Pha,น้ำแม่ริม,ริมเหนือ,แม่ริม,เชียงใหม่
2023-01-03,1.06,Ban Nam Ing,น้ำอิง,ต้า,ขุนตาล,เชียงราย
2023-01-03,9.35,Ban Nam Khong,แม่น้ำยม,ป่าแมต,เมือง,แพร่
2023-01-03,5.55,Ban Nam Yao,น้ำยาว,อวน,ปัว,น่าน
2023-01-03,0.25,Ban Nong Daeng,แม่น้ำน่าน,เปือ,เชียงกลาง,น่าน
2023-01-03,1.7,Ban Nong Naw,น้ำแม่สอย,แจ้ห่ม,แจ้ห่ม,ลำปาง
2023-01-03,3.67,Ban Nong Pham,น้ำแม่ลาว,แม่สรวย,แม่สรวย,เชียงราย
2023-01-03,7.37,Ban Pa Kha,น้ำควร,ควร,ปง,พะเยา
2023-01-03,7.82,Ban Pa Khoi Tai,แม่น้ำปิง,สันผีเสื้อ,เมือง,เชียงใหม่
2023-01-03,4.82,Ban Pa Sang,น้ำแม่ทา,ป่าซาง,ป่าซาง,ลำพูน
